file_name,Barrier,BDE,E12,E13,E14,E15,E16,Q07,Q08,B06,V07,V08,V09,E01,E02,E03,E04,E05,E06,Q01,Q02,Q03,Q04,B01,B02,B03,V01,V02,V03,E17,E18,E19,E20,E21,E22,Q09,Q10,Q11,Q12,B07,B08,B09,V10,V11,V12,E07,E08,E09,E10,E11,Q05,Q06,B04,B05,V04,V05,V06
d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
meta,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S19-O4-P2,15.2,-9.48,-0.354855,0.40885,0.052279,0.230565,2.804491,-0.26608,0.5218,1.0454,0.453,0.3032,0.162,-0.332804,0.075032,-0.128886,0.203918,4.903931973,0.040731,-0.24557,-0.04299,0.0975,-0.14049,0.9537,0.9444,0.947,0.5375,0.3067,0.1801,-0.344746,0.051886,-0.14643,0.198316,5.042457492,0.05406,-0.72213,0.49017,0.05032,0.43985,0.8515,0.7787,0.9242,0.4664,0.3103,0.1663,-0.235489,0.281748,-0.038367,0.121691,3.123877,-0.08572,0.6276,0.9767,1.0246,0.3602,0.2053,0.1301
S20-O6-P1,10.1,-19.24,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.316185,-0.020124,-0.168155,0.148031,6.755341787,0.095507,-0.20803,-0.0014,-0.00034,-0.00106,1.0179,0.9117,0.9877,0.6684,0.3627,0.2209,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.22818,0.259809,-0.009483,0.125163,3.713441,0.12769,0.53153,1.0535,1.0643,0.658,0.3552,0.2176
S21-O3-P1,9.7,-13.8,-0.175527,0.239348,-0.085959,0.076694,3.074019,-0.88953,0.37,0.9197,0.3688,0.2221,0.1143,-0.294681,0.019901,-0.13739,0.157291,6.35764284,0.060003,-0.20058,0.01915,0.01055,0.0086,1.0178,0.9105,0.9836,0.6806,0.3839,0.2351,-0.150706,0.215322,0.032308,0.183014,5.464062859,0.002852,-1.02677,0.15247,0.08305,0.06942,0.7089,0.7719,0.6458,0.379,0.2324,0.1195,-0.229614,0.260474,-0.015211,0.122631,3.627328,0.14233,0.53916,1.0513,1.0637,0.671,0.3759,0.2304
S21-O3-P2,11.1,-20.81,-0.175527,0.239348,-0.085959,0.076694,3.074019,-0.88953,0.37,0.9197,0.3688,0.2221,0.1143,-0.294681,0.019901,-0.13739,0.157291,6.35764284,0.060003,-0.41288,-0.0533,-0.01545,-0.03785,1.0242,0.9183,0.9642,0.6105,0.3803,0.2314,-0.150706,0.215322,0.032308,0.183014,5.464062859,0.002852,-1.02677,0.15247,0.08305,0.06942,0.7089,0.7719,0.6458,0.379,0.2324,0.1195,-0.219128,0.248623,0.028139,0.138381,4.535476,-0.05749,0.38061,1.0899,1.304,0.6255,0.4263,0.2608
S22-O3-P1,8,-10.44,-0.175527,0.239348,-0.085959,0.076694,3.074019,-0.88953,0.37,0.9197,0.3688,0.2221,0.1143,-0.329907,0.053143,-0.138382,0.191525,5.221250489,0.049992,-0.21834,0.02442,0.0062,0.01822,1.0024,0.9127,0.98,0.7065,0.4639,0.2789,-0.150706,0.215322,0.032308,0.183014,5.464062859,0.002852,-1.02677,0.15247,0.08305,0.06942,0.7089,0.7719,0.6458,0.379,0.2324,0.1195,-0.224711,0.25129,-0.01872,0.116285,3.703567,0.14624,0.53916,1.0339,1.0339,0.7087,0.4676,0.2754
S23-O5-P1,9.5,-12.42,-0.173906,0.263127,-0.076388,0.093369,2.945378,-0.74806,0.36607,0.9513,0.3663,0.2087,0.1071,-0.319045,0.07021,-0.124418,0.194628,5.138006864,0.039768,-0.06972,-0.04961,0.0083,-0.05791,1.0114,0.9301,0.9549,0.5309,0.3197,0.1782,-0.154503,0.216427,0.030962,0.185465,5.39185291,0.002584,-0.92775,0.06679,0.16969,-0.1029,0.714,0.7838,0.6442,0.3757,0.2199,0.1125,-0.223146,0.261563,-0.035658,0.112953,3.3645,0.13029,0.51219,0.9967,1.0409,0.5108,0.3125,0.1737
S24-O5-P1,12.9,-11.63,-0.173906,0.263127,-0.076388,0.093369,2.945378,-0.74806,0.36607,0.9513,0.3663,0.2087,0.1071,-0.323824,0.010103,-0.156861,0.166964,5.989315062,0.073684,-0.06571,-0.01216,0.00853,-0.02069,0.9951,0.9293,0.9512,0.5243,0.3165,0.1835,-0.154503,0.216427,0.030962,0.185465,5.39185291,0.002584,-0.92775,0.06679,0.16969,-0.1029,0.714,0.7838,0.6442,0.3757,0.2199,0.1125,-0.244337,0.282405,-0.018687,0.131859,3.321244,0.13762,0.51713,0.9919,1.0289,0.5043,0.308,0.1783
S26-O1-P1,12.9,-14.89,-0.302071,0.378225,0.067455,0.22284,3.217814,-0.262,0.40038,1.0573,0.4905,0.3422,0.2183,-0.302411,0.05933,-0.121541,0.180871,5.528802296,0.040836,-0.20749,-0.06944,0.04663,-0.11607,1.0283,0.9283,0.973,0.5182,0.2763,0.1688,-0.300562,0.017067,-0.141748,0.158815,6.296634449,0.063257,-0.71981,0.036,0.02971,0.00629,0.8519,0.772,0.9318,0.5026,0.3495,0.223,-0.198138,0.239379,-0.055073,0.092153,3.396139,-0.03229,0.49806,1.0363,1.1229,0.4992,0.2679,0.1644
S26-O1-P2,12.8,-11.92,-0.302071,0.378225,0.067455,0.22284,3.217814,-0.262,0.40038,1.0573,0.4905,0.3422,0.2183,-0.302411,0.05933,-0.121541,0.180871,5.528802296,0.040836,-0.05069,-0.00158,0.05389,-0.05547,1.0166,0.9354,0.9601,0.5197,0.2771,0.1686,-0.300562,0.017067,-0.141748,0.158815,6.296634449,0.063257,-0.71981,0.036,0.02971,0.00629,0.8519,0.772,0.9318,0.5026,0.3495,0.223,-0.227314,0.270321,-0.044485,0.112918,3.17656,0.13359,0.54686,1.0009,1.0486,0.4772,0.2561,0.1588
S28-O1-P1,18.9,-7.12,-0.302071,0.378225,0.067455,0.22284,3.217814,-0.262,0.40038,1.0573,0.4905,0.3422,0.2183,-0.301973,0.055892,-0.123041,0.178933,5.588684033,0.042304,-0.70088,-0.01355,-0.02486,0.01131,0.9864,0.9284,0.944,0.4416,0.2673,0.17,-0.300562,0.017067,-0.141748,0.158815,6.296634449,0.063257,-0.71981,0.036,0.02971,0.00629,0.8519,0.772,0.9318,0.5026,0.3495,0.223,-0.296541,0.3297,0.042109,0.185905,3.47716,-0.27701,0.59366,1.0026,1.1051,0.4264,0.2635,0.1663
